name,icao,iata,country,callsign
Mali Air Express,VXP,,Mali,AVION EXPRESS
Malmo Aviation,SCW,,Sweden,SCANWING
Malmö Aviation,SCW,TF,Sweden,Scanwings
Malta Air Charter,MAC,R5,Malta,MALTA CHARTER
Malév,MAH,MA,Hungary,MALEV
Mandala Airlines,MDL,RI,Indonesia,MANDALA
Mandarin Airlines,MDA,AE,Taiwan,Mandarin
Mango,MNO,JE,South Africa,TULCA
March Helicopters,MAR,,United Kingdom,MARCH
Mars RK,MRW,6V,Ukraine,AVIAMARS
Marsland Aviation,MSL,M7,Sudan,MARSLANDAIR
Martinair,MPH,MP,Netherlands,MARTINAIR
Martinaire,MRA,,United States,MARTEX
Mavial Magadan Airlines,MVL,H5,Russia,Mavial
Max Avia,MAI,,Kyrgyzstan,MAX AVIA
Maxair,MXL,8M,Sweden,MAXAIR
Maxjet Airways,MXJ,MY,United States,MAX-JET
Maya Island Air,MYD,MW,Belize,MYLAND
Medavia Company,MDM,,Malta,MEDAVIA
Mediterranean Air Freight,MDF,,Greece,MED-FREIGHT
Mega Linhas Aereas,MEL,,Brazil,MEGA AIR
Menajet,MNJ,IM,Lebanon,MENAJET
Meridiana,ISS,IG,Italy,MERAIR
Merpati Nusantara Airlines,MNA,MZ,Indonesia,MERPATI
Mesa Airlines,ASH,YV,United States,AIR SHUTTLE
Mesaba Airlines,MES,XJ,United States,MESABA
Meta Linhas A,MSQ,,Brazil,META
Mexicana de Aviaci,MXA,MX,Mexico,MEXICANA
Miami Air International,BSK,GL,United States,BISCAYNE
Middle East Airlines,MEA,ME,Lebanon,CEDAR JET
Midway Airlines,MDW,JI,United States,MIDWAY
Midwest Airlines,MEP,YX,United States,
Midwest Airlines (Egypt),MWA,MY,Egypt,
Miller Flying Services,MFS,,United States,MILLER TIME
Miniliner,MNL,,Italy,MINILINER
Ministic Air,MNS,,Canada,MINISTIC
Mistral Air,MSA,,Italy,AIRMERCI
Moldavian Airlines,MDV,2M,Moldova,MOLDAVIAN
Monarch Airlines,MON,ZB,United Kingdom,MONARCH
Montenegro Airlines,MGX,YM,Montenegro,MONTAIR
Morningstar Air Express,MAL,,Canada,MORNINGSTAR
Morris Air Service,MSS,,United States,WASATCH
Moskovia Airlines,GAI,3R,Russia,GROMOV AIRLINE
Motor Sich,MSI,M9,Ukraine,MOTOR SICH
Mount Cook Airlines,NZM,NM,New Zealand,MOUNTCOOK
Mountain Air Cargo,MTN,,United States,MOUNTAIN
Mountain Air Company,MTC,N4,Sierra Leone,MOUNTAIN LEONE
My Way Airlines,MYW,,Italy,FRANKY
MyTravel Airways,MYT,VZ,United Kingdom,KESTREL
Myanma Airways,UBA,UB,Myanmar,UNIONAIR
Myanmar Airways International,MMM,8M,Myanmar,assignment postponed
Mytravel Airways,VKG,,Denmark,VIKING
NHT Lineas Aereas,NHG,,Brazil,HELGA
Nantucket Airlines,ACK,DV,United States,ACK AIR
Nasair,NAS,UE,Eritrea,NASAIRWAYS
National Air Charter,NSR,,Indonesia,NASAIR
National Airlines,NCN,N4,Chile,
National Airlines,ROK,N7,United States,RED ROCK
National Airlines,NAL,NA,United States,NATIONAL
National Jet Express,JTE,,Australia,JETEX
National Jet Systems,NJS,NC,Australia,NATIONAL JET
Nationwide Airlines,NTW,CE,South Africa,NATIONWIDE
Natureair,NRR,,Costa Rica,NATUREAIR
Nauru Air Corporation,RON,ON,Nauru,AIR NAURU
Navegacion Servicios Aereos Canarios SA,NAY,,Spain,NAYSA
Nepal Airlines,RNA,RA,Nepal,ROYAL NEPAL
Neos,NOS,NO,Italy,MOONFLOWER
NetJets,EJA,1I,United States,EXECJET
New England Airlines,NEA,EJ,United States,NEW ENGLAND
Newair,HVA,,United States,HAVEN-AIR
NextJet,NTJ,2N,Sweden,NEXTJET
Nicon Airways,NCN,,Nigeria,NICON AIRWAYS
Night Express,EXT,,Germany,EXECUTIVE
Niki,NLY,HG,Austria,FLYNIKI
Nippon Cargo Airlines,NCA,KZ,Japan,NIPPON CARGO
No. 32 (The Royal) Squadron RAF,NOH,,United Kingdom,NORTHOLT
Nobil Air,NBL,,Moldova,NOBIL AIR
Nok Air,NOK,DD,Thailand,NOK AIR
Nolinor Aviation,NRL,,Canada,NOLINOR
Nord-Flyg,NEF,,Sweden,NORDEX
Nordeste Linhas Aereas Regionais,NES,JH,Brazil,NORDESTE
Nordic Regional,NRD,6N,Sweden,NORTH RIDER
Nordic Solutions,NVD,,Lithuania,NORDVIND
Norsk Helikopter,NOR,,Norway,NORSKE
North Adria Aviation,NAI,,Croatia,NORTH-ADRIA
North Caribou Flying Service Ltd,NCB,,Canada,NORTH CARIBOU
North Flying,NFA,M3,Denmark,NORTH FLYING
North-Wright Airways,NWL,HW,Canada,NORTHWRIGHT
Northern Air Cargo,NAC,NC,United States,YUKON
Northern Airways,NDA,,United States,NORTHERN DAKOTA
Northstar Aviation,NSS,,United States,NORTHSTAR
Northwest Airlines,NWA,NW,United States,NORTHWEST
Northwest Regional Airlines,NWR,FY,Australia,
Northwestern Air,PLR,J3,Canada,POLARIS
Norwegian Air Shuttle,NAX,DY,Norway,NOR SHUTTLE
Nouvel Air Tunisie,LBT,BJ,Tunisia,NOUVELAIR
Nova Airline,NOV,M4,Sudan,NOVANILE
Nova Scotia Department of Lands and Forests,PTR,,Canada,PATROL
Novair,NVR,1I,Sweden,NAVIGATOR
Nuevo Continente,ACQ,N6,Peru,AERO CONTINENTE
Nas Air,KNE,XY,Saudi Arabia,NAS EXPRESS
O Air,OCN,,France,O-BIRD
O'Connor Airlines,OCM,UQ,Australia,OCONNOR
Oasis Hong Kong Airlines,OHK,O8,Hong Kong,OASIS
Ocean Airlines,VCX,VC,Italy,OCEANCARGO
Oceanair,ONE,O6,Brazil,OCEANAIR
Okay Airways,OKA,,China,OKAYJET
Olympic Airlines,OAL,OA,Greece,OLYMPIC
Olympic Aviation,OLY,,Greece,OLAVIA
Oman Air,OMA,WY,Oman,OMAN AIR
Oman Royal Flight,ORF,,Oman,OMAN
Omni Air International,OAE,OY,United States,OMNI-EXPRESS
Omskavia Airline,OMS,N3,Russia,OMSK
Onur Air,OHY,8Q,Turkey,ONUR AIR
OpenSkies,BOS,,United Kingdom,MISTRAL
Orenburg Airlines,ORB,R2,Russia,ORENBURG
Orient Thai Airlines,OEA,OX,Thailand,ORIENT THAI
Origin Pacific Airways,OGN,QO,New Zealand,ORIGIN
Ostfriesische Lufttransport,OLT,OL,Germany,OLTRA
Our Airline,RON,ON,Nauru,OUR AIRLINE
Overland Airways,OLA,OJ,Nigeria,OVERLAND
Oxaero,OXE,,United Kingdom,OXOE
Ozark Air Lines,OZR,OZ,United States,OZARK
Ozjet Airlines,OZJ,O7,Australia,AUSJET
PAN Air,PNR,PV,Spain,SKYJET
PB Air,PBA,9Q,Thailand,PEEBEE AIR
PLUNA,PUA,PU,Uruguay,PLUNA
PMTair,PMT,U4,Cambodia,MULTITRADE
PSA Airlines,JIA,,United States,BLUE STREAK
PTL Luftfahrtunternehemen,KST,,Germany,KING STAR
Pace Airlines,PCE,Y5,United States,PACE
Jetstar Pacific,PIC,BL,Vietnam,PACIFIC AIRLINES
Pacific Blue,PBN,DJ,New Zealand,BLUEBIRD
Pacific Coastal Airline,PCO,8P,Canada,PASCO
Pacific East Asia Cargo Airlines,PEC,Q8,Philippines,PAC-EAST CARGO
Pacific Southwest Airlines,PSX,PS,United States,SMILEY
Pacific Wings,NMI,LW,United States,TSUNAMI
Pakistan International Airlines,PIA,PK,Pakistan,PAKISTAN
Pal Aerolineas,LPA,,Mexico,LINEASPAL
Palau Trans Pacific Airline,PTP,GP,Palau,TRANS PACIFIC
Palestinian Airlines,PNW,PF,Egypt,PALESTINIAN
Pamir Airways,PIR,NR,Afghanistan,PAMIR
Pan Am World Airways,PWD,,Dominican Republic,
Pan American Airways,PAA,PA,United States,
Pan American World Airways,PAA,PA,United States,CLIPPER
Panafrican Airways,PNF,PQ,Ivory Coast,PANWAYS
Pantanal Linhas Aéreas,PTN,P8,Brazil,PANTANAL
Paramount Airways,PMW,I7,India,PARAWAY
Pars Aviation Service,PRA,,Iran,PARSAVIA
Parsa,PST,,Panama,TURISMO REGIONAL
Pascan Aviation,PSC,,Canada,PASCAN
Passaredo Transportes Aereos,PTB,,Brazil,PASSAREDO
Peach Air,KGC,,United Kingdom,GOLDCREST
Pearl Airways,HPA,HP,Haiti,PEARL AIRWAYS
Pegasus Airlines,PGT,PC,Turkey,SUNTURK
Pegasus Aviation,PEV,,Greece,PEGAVIATION
Pelita Air Service,PAS,,Indonesia,PELITA
Peninsula Airways,PEN,KS,United States,PENINSULA
Perm Airlines,PGP,P9,Russia,PERM AIR
Philippine Airlines,PAL,PR,Philippines,PHILIPPINE
Phoenix Air Group,PHA,,United States,GRAY BIRD
Phoenix Air Service,PAM,,Germany,PHOENIX
Phuket Air,VAP,9R,Thailand,PHUKET AIR
Piedmont Airlines (1948-1989),PDT,PI,United States,PIEDMONT
Pinnacle Airlines,FLG,9E,United States,FLAGSHIP
Polar Air Cargo,PAC,PO,United States,POLAR
Polet,POT,,Russia,POLET
Police Aux Frontiers,POF,,France,AIRPOL
Polynesian Airlines,PAO,PH,Samoa,POLYNESIAN
Polynesian Blue,PLB,DJ,New Zealand,POLYBLUE
Porter Airlines,POE,PD,Canada,PORTER AIR
Portugalia,PGA,NI,Portugal,PORTUGALIA
Potomac Air,PDC,BK,United States,DISTRICT
Precision Air,PRF,PW,Tanzania,PRECISION AIR
President Airlines,PSD,TO,Cambodia,
Presidential Aviation,PRD,,United States,PRESIDENTIAL
Priester Aviation,PWA,,United States,PRIESTER
Primaris Airlines,WCP,FE,United States,WHITECAP
Private Wings Flugcharter,PWF,8W,Germany,PRIVATE WINGS
Privilege Style L,PVG,,Spain,PRIVILEGE
Professione VOlare,PVL,,Italy,VOLARE
Propair,PRO,,Canada,PROPAIR
Propflight Air Services,PFZ,,Zambia,PROFLIGHT-ZAMBIA
Provincial Airlines,SPR,,Canada,SPEEDAIR
Pskovavia,PSW,,Russia,PSKOVAVIA
Ptarmigan Airways,PTA,,Canada,PTARMIGAN
Puma Linhas Aereas,PLY,,Brazil,PUMA BRASIL
Qanot Sharq,QNT,,Uzbekistan,QANAT SHARQ
Qantas,QFA,QF,Australia,QANTAS
Qatar Airways,QTR,QR,Qatar,QATARI
Qatar Amiri Flight,QAF,,Qatar,AMIRI
Queen Air,QNA,,Dominican Republic,QUEEN AIR
Quest Diagnostics,LBQ,,United States,LABQUEST
Cranwell Flying Training Unit,CWL,,United Kingdom,CRANWELL
Northwood Headquarters (RAF,NWO,,United Kingdom,
RAF Valley SAR Training Unit,VLL,,United Kingdom,
RAF-Avia,MTL,,Latvia,MITAVIA
Rabbit-Air,RBB,,Switzerland,RABBIT
Rebus,REB,,Bulgaria,REBUS
Redhill Aviation,RHC,8L,United Kingdom,REDAIR
Reem Air,REK,V4,Kyrgyzstan,REEM AIR
Regional Express,RXA,ZL,Australia,REX
Regional Geodata Air,JJM,,Spain,GEODATA
RegionsAir,CEA,3C,United States,CORP-X
Reno Air,ROA,QQ,United States,RENO AIR
Republic Airlines,RPA,RW,United States,BRICKYARD
Republic Express Airlines,RPH,RH,Indonesia,PUBLIC EXPRESS
Rico Linhas A,RLE,C7,Brazil,RICO
Rio Grande Air,GRN,E2,United States,GRANDE
Rio Sul Servi,RSL,SL,Brazil,RIO SUL
Rog-Air,FAD,,Canada,AIR FRONTIER
Romanian Air Force,ROF,,Romania,ROMAF
Air Rarotonga,RAR,GZ,Cook Islands,
Rotatur,RTR,,Brazil,ROTATUR
Rovos Air,VOS,,South Africa,ROVOS
Royal Air Force,RFR,RR,United Kingdom,RAFAIR
Royal Air Force of Oman,MJN,RS,Oman,MAJAN
Royal Air Force,RRR,,United Kingdom,ASCOT
Royal Air Maroc,RAM,AT,Morocco,ROYALAIR MAROC
Royal Airlines,RPK,R0,Pakistan,ROYAL PAKISTAN
Royal Aruban Airline,RYL,V5,Aruba,ROYAL ARUBAN
Royal Brunei Airlines,RBA,BI,Brunei,BRUNEI
Royal Jet,ROJ,,United Arab Emirates,ROYALJET
Royal Jordanian,RJA,RJ,Jordan,JORDANIAN
Royal Khmer Airlines,RKH,RK,Cambodia,KHMER AIR
Royal Nepal Airlines,RNA,RA,Nepal,ROYAL NEPAL
Royal Sky,RYS,,Thailand,ROYAL SKY
Royal Tongan Airlines,HRH,WR,Tonga,TONGA ROYAL
Rusline,RLU,,Russia,RUSLINE AIR
Russian Sky Airlines,ESL,P7,Russia,RADUGA
Rutas Aereas,RUC,,Venezuela,RUTACA
Rwandair Express,RWD,WB,Rwanda,RWANDAIR
Ryan Air Services,RYA,,United States,RYAN AIR
Ryan International Airlines,RYN,RD,United States,RYAN INTERNATIONAL
Ryanair,RYR,FR,Ireland,RYANAIR
Régional,RAE,YS,France,REGIONAL EUROPE
SATA International,RZO,S4,Portugal,AIR AZORES
South African Airways,SAA,SA,South Africa,SPRINGBOK
Shaheen Air International,SAI,NL,Pakistan,SHAHEEN AIR
Sahel Aviation Service,SAO,,Mali,SAVSER
Scandinavian Airlines System,SAS,SK,Sweden,SCANDINAVIAN
Sham Wing Airlines,SAW,,Syrian Arab Republic,SHAMWING
ScotAirways,SAY,,United Kingdom,SUCKLING
STA-MALI,SBA,,Mali,STA-MALI
S7 Airlines,SBI,S7,Russia,SIBERIAN AIRLINES
Stabo Air,SBO,,Zambia,STABAIR
Seaborne Airlines,SBS,BB,United States,SEABORNE
Saint Barth Commuter,SBU,,France,BLACK FIN
SriLankan Airlines,ALK,UL,Sri Lanka,SRILANKAN
Si-Chang Flying Service,SCR,,Thailand,SICHART
SAAB-Aircraft,SCT,,Sweden,SAAB-CRAFT
Sun Country Airlines,SCX,SY,United States,SUN COUNTRY
St. Andrews Airways,SDA,,Canada,SAINT ANDREWS
SADELCA - Sociedad Aerea Del Caqueta,SDK,,Colombia,SADELCA
Servicio Tecnico Aero De Mexico,SDX,,Mexico,SERVICIO TECNICO
Sky Express,SEH,G3,Greece,AIR CRETE
Spicejet,SEJ,SG,India,SPICEJET
Sky Eyes,SEQ,I6,Thailand,SKY EYES
SAETA,SET,EH,Ecuador,SAETA
Star Flyer,SFJ,7G,Japan,STARFLYER
Safair,SFR,FA,South Africa,CARGO
Skagway Air Service,SGY,N5,United States,SKAGWAY AIR
Shell Aircraft,SHE,,United Kingdom,SHELL
Seoul Air International,SHI,,Republic of Korea,SEOUL AIR
Shura Air Transport Services,SHS,,Ethiopia,SHURA AIR
Sakhalinskie Aviatrassy (SAT),SHU,,Russia,SATAIR
SATA Air Acores,SAT,SP,Portugal,SATA
Sky Airlines,SHY,,Turkey,ANTALYA BIRD
Singapore Airlines,SIA,SQ,Singapore,SINGAPORE
Sibaviatrans,SIB,5M,Russia,SIBAVIA
Skynet Airlines,SIH,SI,Ireland,BLUEJET
Servicios Aeronauticos Integrales,SIL,,Mexico,SERVICIOS INTEGRALES
SITA,SIT,XS,Belgium,
Sriwijaya Air,SJY,SJ,Indonesia,SRIWIJAYA
Sama Airlines,SMY,ZS,Saudi Arabia,NAJIM
Singapore Airlines Cargo,SQC,SQ,Singapore,SINGCARGO
Siem Reap Airways,SRH,FT,Cambodia,SIEMREAP AIR
Sky Work Airlines,SRK,SX,Switzerland,SKYFOX
Swedline Express,SRL,SM,Sweden,Starline
Sirair,SRN,,Russia,SIRAIR
South East Asian Airlines,SRQ,DG,Philippines,SEAIR
Star Air,SRR,,Denmark,WHITESTAR
Star Up,SRU,,Peru,STAR-UP
Severstal,SSF,,Russia,SEVERSTAL
SwedJet Airways,BBB,VD,Sweden,BLACKBIRD
Skyservice Airlines,SSV,5G,Canada,SKYTOUR
Status-Alpha Airline,STB,,Ukraine,STATUS-ALPHA
Servicios de Transportes A,STU,FS,Argentina,FUEGUINO
Star African Air,STU,,Somali Republic,STARSOM
South West Air Corporation,STW,,Philippines,SIERRA WHISKEY
Silesia Air,SUA,,Czech Republic,AIR SILESIA
Suburban Air Freight,SUB,,United States,SUB AIR
Sudan Airways,SUD,SD,Sudan,SUDANAIR
Sun Air (Fiji),SUF,PI,Fiji,SUNFLOWER
State Unitary Air Enterprise,SUM,,Russia,SUMES
Sun Air of Scandinavia,SUS,EZ,Denmark,SUNSCAN
Saudi Arabian Airlines,SVA,SV,Saudi Arabia,SAUDIA
Servicios Aereos Saar,SVS,,Mexico,AEREOS SAAR
Security Aviation,SVX,,United States,SECURITY AIR
Southwest Airlines,SWA,WN,United States,SOUTHWEST
Southern Winds Airlines,SWD,A4,Argentina,SOUTHERN WINDS
Spurling Aviation,ASL,,United States,AIR SEATTLE
Sunwing Airlines,SWG,WG,Canada,SUNWING
Swift Air (Interstate Equipment Leasing),SWQ,,United States,SWIFTFLIGHT
Swiss International Air Lines,SWR,LX,Switzerland,SWISS
Swissair,SWR,SR,Switzerland,Swissair
Swiftair,SWT,,Spain,SWIFT
Swiss European Air Lines,SWU,,Switzerland,EUROSWISS
Swe Fly,SWV,WV,Sweden,FLYING SWEDE
Shovkoviy Shlyah,SWW,S8,Ukraine,WAY AERO
Servair,SWZ,,SWISSBIRD,Private Charter
Southern Cross Aviation,SXA,,United States,FERRY
SunExpress,SXS,XQ,Turkey,SUNEXPRESS
Safari Express Cargo,SXY,,Kenya,SAFARI EXPRESS
Skyways,SYA,,Argentina,LINEAS CARDINAL
Synergy Aviation,SYG,,United Kingdom,SYNERGY
Syrian Arab Airlines,SYR,RB,Syrian Arab Republic,SYRIANAIR
Skywalk Airlines,SYX,AL,United States,SKYWAY-EX
Silk Way Airlines,AZQ,ZP,Azerbaijan,SILK LINE
Samara Airlines,BRZ,E5,Russia,BERYOZA
Shandong Airlines,CDG,SC,China,SHANDONG
Sunwest Home Aviation,CNK,,Canada,CHINOOK
Spring Airlines,CQH,9S,China,AIR SPRING
Sichuan Airlines,CSC,3U,China,SI CHUAN
Shanghai Airlines,CSH,FM,China,SHANGHAI AIR
Shenzhen Airlines,CSZ,ZH,China,SHENZHEN AIR
Shanxi Airlines,CXI,8C,China,SHANXI
Sioux Falls Aviation,DKT,,United States,DAKOTA
Sun D'Or,ERO,7L,Israel,ECHO ROMEO
SkyEurope,ESK,NE,Slovakia,RELAX
Sunshine Express Airlines,EXL,CQ,Australia,
South African Express,EXY,,South Africa,EXPRESSWAYS
Silverjet,FJE,,United Kingdom,ENVOY
Sky Wings Airlines,GSW,,Greece,
Star XL German Airlines,GXL,,Germany,STARDUST
Superior Aviation,HKA,SO,United States,SPEND AIR
Svenska Direktflyg,HSV,,Sweden,HIGHSWEDE
Skytaxi,IGA,,Poland,IGUANA
Saha Airlines Services,IRZ,,Iran,SAHA
Spanair,JKK,JK,Spain,SPANAIR
SANSA,LRS,,Costa Rica,
SOS Helikoptern Gotland,MCG,,Sweden,MEDICOPTER
San Juan Airlines,MRR,2G,United States,MARINER
Spirit Airlines,NKS,NK,United States,SPIRIT WINGS
SATENA,NSE,9R,Colombia,SATENA
Servicios Aereos Del Norte,NTB,,Mexico,SERVINORTE
Slok Air Gambia,OKS,S0,Gambia,SLOK GAMBIA
Sosoliso Airlines,OSL,SO,Nigeria,SOSOLISO
Sky Trek International Airlines,PZR,1I,United States,PHAZER
Servicio Aereo Regional Regair,RER,,Ecuador,REGAIR
Skybus Airlines,SKB,SX,United States,SKYBUS
Sakaviaservice,AZG,,Georgia,SAKSERVICE
SkyKing Turks and Caicos Airways,SKI,RU,Turks and Caicos Islands,SKYKING
Skylink Aviation,SKK,,Canada,SKYLINK
Skyscapes Air Charters,SKR,,South Africa,SKYSCAPES
Sky Service,SKS,,Belgium,SKY SERVICE
Santa Barbara Airlines,BBR,S3,Venezuela,SANTA BARBARA
Skystar Airways,SKT,,Thailand,SKY YOU
Sky Airline,SKU,H2,Chile,AEROSKY
SkyWest,SKW,OO,United States,SKYWEST
Skyways Express,SKX,JZ,Sweden,SKY EXPRESS
Skymark Airlines,SKY,BC,Japan,SKYMARK
Sierra National Airlines,SLA,LJ,Sierra Leone,SELAIR
SilkAir,SLK,MI,Singapore,SILKAIR
Slovak Airlines,SLL,6Q,Slovakia,SLOV LINE
Surinam Airways,SLM,PY,Suriname,SURINAM
Sete Linhas Aereas,SLX,,Brazil,SETE
Smalandsflyg,SMF,,Sweden,GORDON
Somon Air,SMR,,Tajikistan,SOMON AIR
Sterling Airlines,SNB,NB,Denmark,STERLING
Skynet Asia Airways,SNJ,6J,Japan,NEWSKY
Soonair Lines,SNL,,United States,SOONAIR
